Oil:  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total proved reserves,at end 1995,at end 2005,at end 2014,,at end 2015,,,,,,,,,,,,,,,,,,,,,,,
,Thousand,Thousand,Thousand,Thousand,Thousand,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ^ Less than 0.05.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 w Less than 0.05%.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 n/a not available.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 # Excludes Estonia and Latvia in 2005.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Notes: Total proved reserves of oil - Generally taken to be those quantities that geological and engineering information indicates with reasonable certainty ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
can be recovered in the future from known reservoirs under existing economic and operating conditions. The data series for total proved oil does not necessarily ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"meet the definitions, guidelines and practices used for determining proved reserves at company level, for instance as published by the US Securities and Exchange Commission, ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
nor does it necessarily represent BPÕs view of proved reserves by country. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Reserves-to-production (R/P) ratio - If the reserves remaining at the end of any year are divided by the production in that year, the result is the length of time",,,,,,,,,,,,,,,,,,,,,,,,,,,,
that those remaining reserves would last if production were to continue at that rate.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Source of data - The estimates in this table have been compiled using a combination of primary official sources, third-party data from the OPEC Secretariat, World Oil, Oil &",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gas Journal and independent estimates of Russian reserves based on official data and Chinese reserves based on information in the public domain. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canadian oil sands 'under active development' are an official estimate. Venezuelan Orinoco Belt reserves are based on the OPEC Secretariat and government announcements.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reserves include gas condensate and natural gas liquids (NGLs) as well as crude oil.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shares of total and R/P ratios are calculated using thousand million barrels figures.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
