Oil: Production*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Change,2015,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015 over,share,,
USSR,4858,5302,5762,6167,6566,7127,7610,8064,8664,9270,9916,10466,11010,11531,11805,12116,12260,12330,12403,12297,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,
Uzbekistan,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,55,61,64,60,66,69,69,79,94,124,172,174,182,191,191,159,153,153,151,138,115,114,104,102,95,78,77,68,68,66,64,-3.1%,0.1%,,
Other Europe & Eurasia,470,487,507,518,530,528,509,504,509,510,508,494,482,490,509,484,470,493,530,532,754,758,736,713,691,682,680,642,597,605,572,543,521,503,472,453,453,487,495,482,454,445,442,420,409,394,394,390,397,388,378,-2.4%,0.4%,,
Total Europe & Eurasia,5644,6100,6586,7001,7413,7974,8452,8935,9545,10159,10988,11838,12927,13837,14653,15096,15410,15848,16359,16576,16436,16923,17212,17103,16693,16074,15220,14210,13537,13646,13811,13995,14217,14180,14464,15007,15513,16324,17003,17571,17523,17587,17800,17577,17760,17699,17390,17124,17166,17206,17463,1.4%,19.4%,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iran,1908,2132,2603,2840,3376,3848,4572,5059,5907,6060,5387,5918,5714,5302,3218,1479,1321,2397,2454,2043,2205,2054,2342,2349,2894,3270,3500,3523,3712,3730,3744,3759,3776,3855,3603,3852,3825,3580,4032,4142,4216,4290,4333,4361,4250,4420,4466,3814,3611,3736,3920,4.5%,4.2%,,
Iraq,1313,1392,1228,1503,1521,1549,1694,1466,2018,1977,2271,2422,2358,2574,3489,2658,907,988,1106,1228,1425,1899,2391,2782,2838,2149,285,531,455,505,530,580,1166,2121,2610,2613,2522,2116,1344,2030,1833,1999,2143,2428,2452,2490,2801,3116,3141,3285,4031,22.9%,4.5%,,
Kuwait,2371,2505,2522,2656,2819,3036,3253,3339,3080,2603,2132,2199,2024,2182,2623,1757,1187,862,1117,1229,1127,1210,1072,1286,1408,964,185,1077,1945,2085,2130,2129,2137,2232,2085,2244,2186,2032,2370,2523,2668,2737,2661,2786,2500,2561,2915,3171,3134,3120,3096,-1.1%,3.4%,,
Oman,n/a,n/a,57,241,327,332,294,282,293,290,341,367,340,314,295,285,330,338,391,419,502,564,588,625,651,695,716,748,785,819,868,897,909,905,911,961,959,900,822,783,777,738,710,757,813,865,885,918,942,943,952,0.8%,1.1%,,
Qatar,233,291,324,340,356,363,430,482,570,518,437,487,435,484,506,476,421,345,316,353,315,355,315,360,403,434,420,495,460,451,461,568,692,701,723,853,858,803,949,1082,1151,1241,1267,1438,1421,1638,1834,1931,1903,1893,1898,-0.4%,1.8%,,
Saudi Arabia,2219,2615,2825,3081,3262,3851,4821,6070,7693,8618,7216,8762,9419,8554,9841,10270,10256,6961,4951,4534,3601,5208,4599,5720,5635,7105,8820,9098,8962,9084,9092,9244,9428,9449,8800,9470,9188,8907,10141,10458,10931,10671,10268,10663,9663,10075,11144,11635,11393,11505,12014,4.6%,13.0%,,
Syria,n/a,n/a,n/a,21,53,85,106,117,111,129,192,201,183,179,167,158,164,155,161,162,159,201,231,268,341,407,472,514,566,563,596,586,577,576,579,573,613,677,652,487,448,421,404,406,401,385,353,171,59,33,27,-18.2%,_,,
United Arab Emirates,282,360,382,498,599,762,1106,1300,1456,1631,1696,1937,1998,1829,1831,1745,1540,1375,1296,1283,1260,1594,1603,1620,2024,2283,2639,2510,2443,2482,2401,2519,2620,2687,2583,2660,2561,2439,2722,2836,2919,3098,3002,3027,2725,2895,3320,3403,3640,3685,3902,5.3%,4.0%,,
Yemen,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,10,26,170,178,182,197,184,209,346,351,357,375,380,405,450,453,457,451,424,421,387,341,315,307,306,241,190,150,145,47,-67.8%,_,,
Other Middle East,61,66,73,78,78,79,76,71,69,68,62,59,59,55,51,55,54,52,50,50,50,51,52,53,53,52,53,54,53,52,52,50,50,49,48,48,47,48,48,48,185,182,194,192,192,192,201,183,207,213,212,-0.5%,0.2%,,
Total Middle East,8387,9361,10014,11258,12391,13904,16353,18186,21197,21894,19733,22352,22530,21473,22021,18882,16180,13473,11841,11301,10645,13146,13219,15234,16425,17540,17287,18735,19591,20118,20226,20689,21730,22955,22348,23724,23212,21960,23531,24814,25549,25764,25322,26372,24723,25827,28160,28532,28181,28557,30098,5.4%,32.4%,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Algeria,577,739,852,933,977,1052,809,1089,1111,1036,1003,1109,1188,1270,1271,1139,1049,1065,1047,1137,1151,1198,1231,1254,1280,1347,1351,1323,1329,1324,1327,1386,1421,1461,1515,1549,1534,1653,1826,1921,1990,1979,1992,1969,1775,1689,1642,1537,1485,1589,1586,-0.4%,1.6%,,
Angola,13,13,11,15,50,103,116,143,166,173,158,153,143,131,146,150,145,130,178,204,232,283,355,452,460,475,498,550,504,557,633,716,741,731,745,746,742,905,870,1103,1282,1432,1699,1916,1804,1863,1726,1784,1799,1712,1826,6.8%,2.0%,,
Chad,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,24,168,173,153,144,127,118,122,114,101,83,82,78,-4.8%,0.1%,,
Republic of Congo ,1,1,1,1,^,^,^,6,41,48,35,41,32,47,54,61,80,88,104,117,115,115,123,136,154,156,156,167,185,185,180,200,225,264,266,265,248,238,217,225,247,279,224,237,276,314,301,294,281,276,277,0.4%,0.3%,,
Egypt,126,122,109,166,239,319,291,208,165,145,228,322,407,491,509,580,628,651,712,816,882,806,907,869,878,897,896,906,941,921,924,894,873,857,827,779,758,751,750,701,672,679,698,715,730,725,714,715,710,714,723,1.4%,0.8%,,
Equatorial Guinea,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,2,5,5,7,17,60,83,100,118,194,230,266,351,358,342,350,347,307,274,252,272,267,281,289,3.3%,0.3%,,
Gabon,25,29,69,93,101,109,116,126,152,204,227,226,226,212,196,178,153,156,158,174,173,166,155,178,205,270,295,289,305,337,356,365,364,337,340,276,262,256,274,273,270,242,246,240,241,255,254,245,236,236,233,-1.4%,0.3%,,
Libya,1220,1508,1733,2599,3108,3357,2750,2248,2211,1558,1514,1972,2108,2023,2139,1862,1253,1176,1151,1022,1025,1064,1003,1051,1164,1424,1439,1473,1402,1431,1439,1452,1491,1480,1425,1475,1427,1375,1485,1623,1745,1816,1820,1820,1652,1656,479,1509,988,498,432,-13.4%,0.5%,,
Nigeria,274,418,319,141,540,1084,1531,1818,2056,2256,1785,2071,2098,1897,2306,2059,1440,1290,1236,1388,1499,1467,1353,1496,1775,1870,1960,2020,2024,1991,1998,2145,2316,2167,2066,2155,2274,2103,2263,2472,2527,2433,2314,2134,2234,2535,2476,2430,2321,2389,2352,-1.5%,2.6%,,
South Sudan,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,31,100,155,148,-4.9%,0.2%,,
Sudan,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,2,2,2,5,9,12,63,179,209,236,262,291,294,356,483,457,475,462,291,103,118,120,105,-12.3%,0.1%,,
Tunisia,n/a,16,47,67,78,87,87,84,82,87,97,78,91,104,117,118,114,108,117,115,114,111,106,104,105,101,117,117,108,99,97,96,91,89,92,84,78,81,74,76,80,77,106,98,93,85,78,84,78,73,63,-14.1%,0.1%,,
Other Africa,2,2,2,2,1,1,^,1,1,1,^,25,24,31,55,78,119,149,163,205,241,233,219,211,196,190,176,163,166,157,157,172,188,168,151,145,135,136,141,165,172,222,192,186,184,162,221,221,245,245,264,7.9%,0.3%,,
Total Africa,2240,2848,3143,4017,5094,6112,5701,5722,5984,5508,5047,5997,6316,6207,6793,6225,4981,4814,4865,5179,5433,5443,5452,5751,6217,6731,6886,7010,6970,7010,7118,7447,7778,7648,7591,7771,7861,7965,8451,9368,9811,10011,10269,10246,9890,10142,8548,9327,8711,8371,8375,0.1%,9.1%,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australia,7,9,21,39,45,176,315,337,424,420,451,461,490,490,491,460,449,443,431,563,655,588,623,593,562,647,613,605,568,610,579,612,658,630,612,806,748,749,655,574,570,532,549,538,507,548,483,479,407,436,385,-10.9%,0.4%,,
Brunei,80,96,104,122,124,136,129,182,231,198,187,217,227,240,261,240,175,179,179,172,168,165,155,150,150,152,164,182,175,179,175,165,163,157,182,193,203,210,214,210,206,221,194,175,168,172,165,159,135,126,127,0.4%,0.1%,,
China,227,292,279,320,437,616,791,915,1077,1302,1548,1746,1880,2090,2132,2122,2033,2051,2130,2295,2508,2625,2694,2745,2764,2778,2831,2845,2892,2934,2993,3175,3216,3217,3218,3257,3310,3351,3406,3486,3642,3711,3742,3814,3805,4077,4074,4155,4216,4246,4309,1.5%,4.9%,,
India,62,96,117,120,139,140,148,152,148,155,171,178,210,233,265,193,309,412,525,583,627,658,639,672,719,715,677,615,590,684,774,736,754,737,736,726,727,753,756,773,737,760,768,803,816,882,916,906,906,887,876,-1.1%,0.9%,,
Indonesia,486,474,510,599,642,854,892,1081,1338,1375,1306,1504,1685,1635,1590,1577,1602,1337,1419,1505,1342,1429,1420,1373,1481,1539,1669,1579,1588,1589,1578,1580,1557,1520,1408,1456,1387,1289,1176,1130,1096,1018,972,1006,994,1003,952,918,882,852,825,-3.0%,0.9%,,
Malaysia,1,1,1,4,9,18,69,93,91,81,98,167,183,216,282,276,259,304,385,446,445,500,494,540,589,622,648,657,645,657,704,716,714,725,691,722,702,740,760,776,757,713,742,741,701,717,650,654,621,650,693,6.9%,0.7%,,
Thailand,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,2,6,13,24,49,50,47,53,51,62,75,91,96,96,92,105,126,130,140,185,195,210,244,241,297,325,341,362,376,388,421,460,454,450,477,6.0%,0.4%,,
Vietnam,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,6,14,30,55,80,111,128,144,155,179,205,245,296,337,351,356,361,424,389,354,334,309,341,322,326,357,361,373,362,-3.4%,0.4%,,
Other Asia Pacific,35,34,31,35,36,40,42,44,47,47,48,62,72,72,92,77,78,85,90,103,122,125,119,123,133,143,146,202,274,257,227,242,224,214,216,196,191,194,192,233,285,304,319,340,330,315,299,290,272,289,292,1.4%,0.3%,,
Total Asia Pacific,899,1002,1063,1240,1432,1979,2387,2804,3356,3578,3808,4335,4748,4975,5113,4945,4907,4816,5173,5690,5916,6140,6197,6263,6479,6712,6904,6888,6957,7149,7277,7510,7617,7575,7500,7876,7814,7853,7764,7847,7978,7937,7961,8088,8039,8424,8287,8378,8254,8310,8346,0.5%,9.1%,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total World,31799,34563,37113,40430,43627,48056,50838,53661,58460,58614,55822,60410,62716,63338,66060,62959,59547,57312,56615,57690,57455,60430,60740,63106,63998,65386,65205,65719,65985,67077,67995,69846,72103,73450,72291,74922,75162,74922,77605,80916,81896,82487,82277,82818,81182,83283,84097,86218,86591,88834,91670,3.2%,100.0%,,
of which: OECD,10815,11478,12273,12795,13170,13952,14045,14377,14530,14055,13699,13686,14587,15625,16558,17187,17646,18460,18938,19790,20119,19655,19726,19565,18805,18844,19411,19589,19694,20563,20760,21379,21684,21516,21129,21558,21426,21503,21213,20813,19894,19458,19141,18434,18443,18535,18571,19474,20623,22541,23534,4.4%,24.9%,,
                 Non-OECD,20983,23085,24840,27635,30457,34104,36794,39284,43929,44558,42124,46724,48129,47713,49502,45772,41901,38852,37677,37901,37336,40775,41014,43541,45193,46542,45794,46130,46291,46514,47235,48467,50419,51933,51162,53364,53735,53419,56392,60102,62003,63029,63136,64384,62739,64748,65525,66744,65968,66293,68136,2.7%,75.1%,,
                 OPEC,13922,15381,16381,18250,20243,22762,24702,26393,29932,29667,26181,29590,29983,28677,30011,26028,21895,18756,16943,16535,15871,18517,18351,20678,22180,23857,23904,25428,26181,26780,27109,28028,29506,30748,29665,31118,30697,29282,31291,34023,35104,35570,35241,36269,33998,35149,36061,37536,36621,36652,38226,4.2%,41.4%,,
                 Non-OPEC ,17877,19182,20732,22180,23384,25294,26137,27269,28527,28946,29641,30820,32733,34661,36050,36930,37651,38556,39672,41155,41584,41914,42389,42428,41818,41529,41301,40291,39804,40297,40886,41819,42597,42702,42626,43804,44465,45640,46314,46893,46792,46918,47036,46549,47184,48134,48035,48682,49970,52182,53445,2.4%,58.6%,,
                 European Union #,699,697,705,702,698,694,677,668,674,686,714,929,1463,1774,2248,2285,2481,2831,3144,3378,3445,3459,3398,3210,2725,2722,2708,2761,2894,3493,3551,3531,3509,3606,3735,3564,3347,3400,3185,2955,2711,2471,2425,2264,2127,1987,1724,1528,1436,1414,1507,6.6%,1.6%,,
                 CIS,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,12007,12399,12604,12545,12250,11519,10426,9105,8155,7355,7258,7132,7332,7346,7511,8020,8675,9523,10486,11369,11793,12278,12758,12780,13213,13494,13543,13592,13799,13807,13914,0.7%,15.6%,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
" * Includes crude oil, shale oil, oil sands and NGLs (natural gas liquids - the liquid content of natural gas where this is recovered separately).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  Excludes liquid fuels from other sources such as biomass and derivatives of coal and natural gas.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ^ Less than 0.05.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w Less than 0.05%.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 n/a not available.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
" # Excludes Estonia, Latvia and Lithuania prior to 1985 and Slovenia prior to 1990.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note: Annual changes and shares of total are calculated using million tonnes per annum figures.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
