Table: Production of Crude Oil including Lease Condensate (Thousand Barrels Per Day),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Netherlands Antilles,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nicaragua,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Panama,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Paraguay,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Peru,,195,193,195,171,184,190,178,164,141,130,128.97,114.899,116.27,126.28,127.91802,129.7,119.72049,118.239,115.592,106,95.588,93.096,92.865,87.35,79.90014,75.45435,77.57325,77.11348,76.57675,71.03245,72.68841,69.54406,66.6548,62.8934,69.30365
Puerto Rico,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Saint Kitts and Nevis,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Saint Lucia,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Saint Vincent/Grenadines,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Suriname,,0,0,0,0,0,1,2,2,3,4,3.9,3.5,5,5,6,7,7.49727,5,7,10,10,10,10,10,10,10,11.59922,13.53573,15.8421,16,16,16,15.83333,15,15
Trinidad and Tobago,,211,240,180,160,170,175,168,157,157,154,150,151,137.486,135,131.53196,131.24658,129.57923,123.836,122.627,124.978,122.16393,113.353,121.83836,134.089,122.902,144.67393,142.721,121.15419,114.27872,107.16982,98.24574,91.91869,81.73483,81.27825,81.25796
Turks and Caicos Islands,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Uruguay,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Venezuela,,2168,2102,1895,1801,1798,1677,1787,1752,1903,1907,2137,2375,2371,2450,2588.00017,2750.13699,2938,3280,3167.0137,2825.8,3155,3010,2603.94521,2335.19178,2556.93989,2564.65753,2510.54795,2490.30137,2510,2520,2410,2500,2500,2500,2500
"Virgin Islands,  U.S.",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Virgin Islands, British",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Europe,,2821.263,3013.567,3355.6,3764.371,4012.529,4155.741,4280.563,4304.559,4242.344,4149.557,4291.862,4506.059,4764.112,4992.595,5789.48183,6065.78242,6474.37063,6488.93137,6446.26373,6498.85719,6363.81276,6346.21626,6304.60275,6028.60553,5698.80526,5210.56339,4785.96013,4540.88973,4298.12423,4062.98411,3764.58895,3419.61534,3110.90962,2934.83208,2955.74399
Albania,,44,44,64,75,55,55,55,54,44,47,30,18.86,10.522,11.26,11.49999,10,9.5,9.215,6.3,5.57534,5.656,5.952,6.361,6.717,6.693,7,7.74247,6.41918,6,5.32877,10.84384,15.51507,16.83607,17.00822,20.50685
Austria,,28,25,26,25,23,22,22,21,23,23,22,25.501,22.852,21.692,21.34303,22.90411,21.49727,19,20.50411,18,19,18.66849,18.58082,17.91507,18.07923,16.81644,16.75342,16.74795,16.08197,16.31781,16.74521,17.66027,16.9153,16.1589,17.25479
Belgium,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bosnia and Herzegovina,,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bulgaria,,3,3,3,3,4,6,6,6,4.4,5,4,1.2,1.062,0.964,1.06,1,0.7,0.6,0.8,0.785,0.851,0.603,0.74,0.6,1,1,1,1,1,1,1,1,1,1,1
Croatia,,--,--,--,--,--,--,--,--,--,--,--,--,35.906,35.508,39.46,32,30,29.367,31.16,25,24,23,22,22,20.24863,18.65753,16.75068,15.09361,13.66667,15.58082,14.58356,13.49041,11.83333,11.99726,10.07397
Cyprus,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Czech Republic,,--,--,--,--,--,--,--,--,--,--,--,--,--,2.109,2.435,2.99,4.155,3.26,3.612,3.91507,3.59016,3.67123,5.34521,6.50137,6.07923,6.16712,5.32877,5,4.9153,4.25205,3.59178,3.08493,3,3,3
Denmark,,6,15,35,45,46,58,76,97,99,117,121,142.89,162.919,174.109,184.97798,186.07671,207.9235,230.48219,238.35342,300.2,362.93443,346.20274,370.76164,375.04658,389.14727,377.14557,342.00481,311.55571,286.51289,259.98068,245.35943,221.14635,202.24618,175.40117,165.24971
Faroe Islands,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Finland,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Former Czechoslovakia,,2,2,2,2,2,2,3,3,3,3,2.3,2.671,2.223,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Former Serbia and Montenegro,,--,--,--,--,--,--,--,--,--,--,--,--,23.074,22.829,23.68,22,22,19.722,18,18,16,15,14,13.5,13,12.16164,--,--,--,--,--,--,--,--,--
Former Yugoslavia,,86,86,87,83,80,86,84,79,75,70,63.9,60,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
France,,26,34,34,35,35,50,60,65,67,65,61,58.666,57.678,55.322,56.15302,50,43.16393,35.66575,34.49315,30.48767,29,27.91507,26.91781,24.07671,23.3306,21.33699,21.49863,19.83562,19.5,18.15068,18.08493,17.83014,16.25137,16.00274,15.33699
Germany,,--,--,--,--,--,--,--,--,--,--,--,71.288,63.144,60.855,46.35402,46.5,47.61587,47.296,48.638,43.296,47.81786,47.752,50.249,51.296,45.23207,43.16712,40.96712,41.07671,43,44,43,48,49,50.56438,46.83288
Germany (Offshore),,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,12,12,9,10,12,16,17.111,18.6137,21.00274,22.6694,23.7589,26.5863,25.2411,17,11,6,3,2,1,1
"Germany, East",,1,1,1,1,1,1,1,1,0.8,0.9,0.8,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
"Germany, West",,92,89,84,81,79,81,80,74,78,75,71,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Gibraltar,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Greece,,0,8,21,24,26,25,25,24,21,17,15,16,13.27,10.843,10.247,9,8,9.07945,6.49315,0.33973,4.74863,4.99178,3.16164,2.83014,2.83607,2.66849,1.83836,1.24658,1,1.16767,2.33425,1.75068,1.6694,1.24658,1.16164
Hungary,,38,38,41,40,40,37,37,35,39,36,39.8,33.74,33.359,34.18,38.56001,35,32.32514,35.457,26,24.48493,26.99454,27.18904,24.07397,25,23.68033,19.16712,17.82466,16.32329,15.92077,15.91507,14.40822,12.99178,12.91257,12,11.41096
Iceland,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ireland,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Italy,,38,37,35,45,45,45,49,67,90,82,87,80,83.36,82.724,86.24696,93.37,101.09836,111.58904,106.95342,82,90,78.46,85.36164,95.84932,104.16667,114.60822,110.34247,107.93699,99.45082,82.78082,96.00548,99.17808,100.96721,101.77534,105.69315
Kosovo,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Luxembourg,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Macedonia,,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Malta,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Montenegro,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,0,0,0
Netherlands,,25,27,38,53,61,76,93,87,77,64,70,74,53.238,50.261,20,20,20,20,20,11.88,12.78,7.87671,5.56986,7.17233,4.5847,4.7589,2.74795,4.66301,6.51093,7.32877,7.76438,12.75342,11,11.73699,12.18082
Netherlands (Offshore),,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58.22702,45.9726,36.2377,32.74247,32,20,16,18.32603,40.7589,39.77562,38.05464,26.98356,23.57534,35.2411,26.99727,18.15616,12.23562,9.50137,9.83333,10.24932,15.93699
Norway,,485.811,474.458,492.346,614.954,707.294,772.596,841.49,982.486,1113.09,1482.603,1630.008,1870.865,2131.885,2281.513,2569.552,2765.828,3091.012,3141.717,3011.234,3018.885,3221.517,3226.327,3130.584,3042.114,2954.475,2697.94219,2490.57808,2270.22247,2181.95628,2067.42466,1869.28219,1752.2411,1606.63934,1529.90137,1568.14795
Poland,,7,7,5,4,4,4,4,3,3,3,2,3,3.162,4.926,5,4.6,5,6,7.38,9,13.0082,14.73151,13.32055,14.63562,16.66393,15.90411,14.9863,13.66027,14.16667,12.40548,12.90959,12.48767,13.40164,19.22466,19.25753
Portugal,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Romania,,238,241,242,240,237,220,221,215,193,180,163,140,135.641,133,137.78093,135,135,134.47,131.64384,125,120.41803,124,122.379,116.365,114.24863,105.30685,96.46029,94.41918,95.39682,91.6601,88.13895,86.864,84.35022,84.99242,83.34739
Serbia,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,13,13,13,14,18,16.58082,14.99727,16.49589,16.83836
Slovakia,,--,--,--,--,--,--,--,--,--,--,--,--,--,1.27,1.26,1.4,1.6,1.5,1.2,0.909,1,1,1,1.255,0.858,0.7,0.62,0.48,0.42,0.2,0.2,0.2,0.2,0.2,0.2
Slovenia,,--,--,--,--,--,--,--,--,--,--,--,--,0,0.05,0.04,0.04,0.02,0.026,0.02,0.02,0.02,0.014,0.014,0.01,0.006,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005
Spain,,33,25,30,58,46,44,38,34,30,21,16,22,21.882,17.809,16.57502,13.428,10.5,7.6,10.58,6.07945,4.75137,7.09863,6.41,6.597,5.99727,3.09315,2.99452,2.74795,2.66667,2.33699,2.5726,2.16712,3.00273,7.33699,6.41918
Sweden,,0.452,0.109,0.254,0.417,0.235,0.145,0.073,0.073,0.054,0.054,0.054,0.036,0.018,0.01,0.08099,0.081,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Switzerland,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Turkey,,46,46,50,44,41,41,46,51,50,56,73,88.342,83.534,76.24,72.40103,67.469,67.1776,67.6,65.25479,59,52.676,48,46.67397,45.16986,42.42077,43.67123,42.1589,41.00274,41.5847,46.20548,48.33699,45.73699,44.75683,46.24384,47.67123
United Kingdom,,1622,1811,2065,2291,2480,2530,2539,2406,2232,1802,1820,1797,1825.383,1915.121,92.49304,101.02,106.50273,103,107.09315,87,67.80055,63.23562,55.24658,45.99726,39.92006,34.18591,30.34918,26.32067,25.84916,24.46333,19.50629,14.51507,18.03089,20.85322,20.92696
United Kingdom (Offshore),,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2282.05479,2388.103,2461.34153,2414.54247,2508.55068,2597,2207.249,2219.09041,2236.47945,2047.17893,1805.41375,1614.35732,1459.84688,1471.65063,1365.52233,1303.32377,1213.68065,1011.91507,870.06094,780.43781,766.29164
Eurasia,,11706,11850,11912,11972,11861,11585,11895,12050,12053,11715,10975,9992,8541.022,7576.021,6995.48223,6874.05,6775.049,6917.24527,6936.114,7298.368,7809.52751,8375.91114,9017.28004,9861.0587,10707.55309,11121.59392,11529.32567,11974.52063,11905.79714,12271.03455,12570.31483,12647.26887,12719.40797,12873.23419,12967.51256
Armenia,,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Azerbaijan,,--,--,--,--,--,--,--,--,--,--,--,--,213.47,200,184.00015,175,175.9,172.8,230,276,280.04372,301.16712,310.25753,320.05479,311.42623,432.7726,639.52055,842.07671,869.56284,1005.84658,1034.6274,982.99452,921.74863,870.59452,845.92055
Belarus,,--,--,--,--,--,--,--,--,--,--,--,--,39.925,40,39.84003,38.48,36.38,36.36,36.45,36.649,37,37,36.50685,36.4,36.33333,35,35,35,35,33,30,30,30,30,30
Estonia,,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Former U.S.S.R.,,11706,11850,11912,11972,11861,11585,11895,12050,12053,11715,10975,9992,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Georgia,,--,--,--,--,--,--,--,--,--,--,--,--,2.92,2,1.8,1,1.2,2.68,2.19,2.18,2,2,1.48,2.8,2,2,1,1,1,1,1,1,1,1,1
Kazakhstan,,--,--,--,--,--,--,--,--,--,--,--,--,444,408,415.004,414,456.749,521,526,603.6,718,814.86301,939.19178,1026.70964,1203.24864,1288.28476,1313.33391,1360.42475,1345.42082,1455.15096,1525.19866,1552.93699,1514.47541,1572.89863,1632.07671
Kyrgyzstan,,--,--,--,--,--,--,--,--,--,--,--,--,2.148,1.884,1.53,1.89,1.88,1.7,1.6,1.53,2,2,1.52,1.38,1.4,2,2,1,1,1,1,1,1,1,1
Latvia,,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lithuania,,--,--,--,--,--,--,--,--,--,--,--,--,0,1.567,2.90799,3.18,3.012,3.83527,5.474,4.641,5.984,9.555,8.84,7.758,6.108,4.386,3.673,3.087,3,2,2,2,2,2,2
Moldova,,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Russia,,--,--,--,--,--,--,--,--,--,--,--,--,7631.929,6730,6135,5995,5850,5920,5854,6078.948,6479.202,6917,7408.173,8132.19879,8804.70765,9043.08219,9247.20548,9437.06345,9356.78361,9495.36493,9694.11447,9773.51781,9921.60929,10053.84384,10107.08767
Tajikistan,,--,--,--,--,--,--,--,--,--,--,--,--,1.081,0.57,0.4,0.5,0.42,0.52,0.4,0.395,0.359,0.326,0.309,0.352,0.25,0.27932,0.3,0.27831,0.23524,0.21799,0.215,0.215,0.21375,0.206,0.206
Turkmenistan,,--,--,--,--,--,--,--,--,--,--,--,--,98,79,77.00003,70,75.759,89,110,139.425,141.6,155,179.569,187.36438,201.07923,183.26027,161.45479,163.59041,170.25683,176.26301,178.18767,196.73699,215.46995,228.47945,242.92329
Ukraine,,--,--,--,--,--,--,--,--,--,--,--,--,72,66,63,60,59,57,54,53,52,52,52,56,60,63,67,66,61.4613,57.73774,51.10113,48.28674,45.62865,43.21175,40.49286
Uzbekistan,,--,--,--,--,--,--,--,--,--,--,--,--,35.549,47,75.00004,115,114.749,112.35,116,102,91.3388,85,79.43288,90.0411,81,67.52877,58.83795,65,62.0765,43.45334,52.87051,58.58082,66.2623,70,64.80548
Middle East,,18442,15766,12641,11624,11369,10307,12462,12935.79,14512.856,16012.525,16544.527,16130.075,17373.102,18264.637,18669.45978,18979.01959,19173.72371,19923.01562,21177.87038,20524.64571,21827.53546,20951.81837,19632.18581,20866.87027,22507.56787,23250.13962,22896.47914,22313.49032,23611.29252,22220.1674,23116.54796,24395.56663,24466.39834,24060.90969,24459.21767
Bahrain,,48,46,44,42,41,42,44,42,43,43,42,38,36.743,40.753,40.80001,40.78,35,40.3,37.675,37.439,38,37,36.8,37.632,37,35,35,35,35,35,35,35,41,48,49.50411
Iran,,1662,1380,2214,2440,2174,2250,2035,2298,2240,2810,3088,3312,3429.098,3540,3617.99968,3643.21918,3685.71038,3664.17808,3633.76712,3557,3696.3,3723.70137,3444.30137,3742.79497,4001.43443,4138.57534,4027.80822,3911.89041,4050.27322,4037.03835,4080.41895,4054,3386.84973,3113.29863,3235.69863
Iraq,,2514,1000,1012,1005,1209,1433,1690,2079,2685,2897,2040,305,425,511.699,552.53449,560,578.798,1155,2150.0411,2507.87671,2570.68306,2390,2023,1308.24729,2011.46995,1877.65753,1995.60274,2086.29162,2375.26599,2390.59154,2399.30253,2625.68493,2983.33333,3054.38356,3368.0411
Israel,,35,36,1,1,1,1,1,0.29,0.356,0.31,0.2,0.2,0.186,0.153,0.1,0.1,0.2,0.3,0.2,0.2,0.08,0.08,0.1,0.06,0.075,0.1,0.1,0.1,0.1,0.1,0.1,0.39,0.39,0.39,0.39
Jordan,,0,0,0,0,0,0,1,0.5,0.5,0.215,0.327,0.3,0.05,0.031,0.02499,0.03,0.031,0.04,0.031,0.04,0.04,0.04,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.018,0.022,0.022,0.022
Kuwait,,1656,1125,823,1064,1157,1023,1419,1585,1492,1783,1175,190,1058.1,1852.363,2024.99992,2057.41096,2061.65164,2007.1,2085.34247,1897.7,2078.5,1997.5,1894.16027,2136,2375.69672,2529.17808,2535.34247,2464.09589,2585.74858,2350,2300.41096,2530.13699,2634.94536,2650,2618.56164
Lebanon,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Oman,,282,319,324,375,414,498,560,582,617,641,685,700,740,775.83,810.00049,851.28767,883.38798,904,899.83562,910,970,913,896.72329,819,750.95902,774.30233,737.65064,710.35893,757.32107,812.51444,864.5879,885.68192,918.56831,939.92235,943.47964
